Endpoint,Nominal (%),Empirical (%),Δ (pp),Mean Width
LogS,70.0,69.5,-0.5,1.298
LogS,75.0,76.0,1.0,1.566
LogS,80.0,81.7,1.7,1.837
LogS,85.0,86.2,1.2,2.224
LogS,90.0,90.2,0.2,2.663
LogS,95.0,95.5,0.5,3.821
LogP,70.0,71.8,1.8,0.75
LogP,75.0,76.2,1.2,0.831
LogP,80.0,82.2,2.2,0.988
LogP,85.0,87.6,2.6,1.161
LogP,90.0,92.1,2.1,1.384
LogP,95.0,96.0,1.0,1.797
LogD,70.0,62.9,-7.1,0.815
LogD,75.0,69.0,-6.0,0.938
LogD,80.0,76.9,-3.1,1.098
LogD,85.0,86.4,1.4,1.354
LogD,90.0,88.6,-1.4,1.521
LogD,95.0,93.8,-1.2,1.84
LogPapp,70.0,75.0,5.0,0.824
LogPapp,75.0,76.3,1.3,0.859
LogPapp,80.0,79.4,-0.6,0.953
LogPapp,85.0,83.8,-1.2,1.08
LogPapp,90.0,89.0,-1.0,1.308
LogPapp,95.0,92.5,-2.5,1.609
