Drug,BCS_class,Tanimoto_sim,In_domain
Estradiol,1,1.0,True
Atropine,1,1.0,True
Norgestimate,1,0.58208954,False
Clonidine Hydrochloride,1,1.0,True
Norethindrone,1,1.0,True
Norgestrel,1,1.0,True
Anastrozole,1,1.0,True
Indapamide,1,1.0,True
Alprazolam,1,1.0,True
Lorazepam,1,1.0,True
Chlorpheniramine,1,1.0,True
Amiloride,1,0.5135135,False
Desloratadine,1,0.48979592,False
Olopatadine Hydrochloride,1,0.66,False
Guanfacine,1,0.47368422,False
Rosiglitazone Maleate,1,0.5,False
Bisoprolol Fumarate,1,1.0,True
Donepezil Hydrochloride,1,0.4057971,False
Ramipril,1,1.0,True
Zolpidem Tartrate,1,1.0,True
Amlodipine,1,0.74603176,False
Cetirizine,1,1.0,True
Cyclobenzaprine,1,1.0,True
Memantine,1,0.45454547,False
Prednisolone,1,1.0,True
Primaquine,1,1.0,True
Diazepam,1,1.0,True
Escitalopram Oxalate,1,1.0,True
Fluoxetine Hydrochloride,1,1.0,True
Vitamin B6,1,1.0,True
Buspirone,1,1.0,True
Doxycycline Hyclate,1,0.93333334,False
Stavudine,1,0.5416667,False
Mirtazapine,1,0.6511628,False
Cyclophosphamide,1,1.0,True
Prednisone,1,1.0,True
Tramadol,1,1.0,True
Phenobarbital,1,1.0,True
Atomoxetine Hydrochloride,1,0.54545456,False
Nortriptyline,1,1.0,True
Diphenhydramine,1,1.0,True
Propranolol Hydrochloride,1,1.0,True
Benznidazole,1,1.0,True
Diethylcarbamazine Citrate,1,1.0,True
Proguanil,1,1.0,True
Vitamin B2,1,1.0,True
Meperidine,1,1.0,True
Metoprolol Tartrate,1,1.0,True
Venlafaxine Hydrochloride,1,1.0,True
Bupropion,1,0.4722222,False
Doxepin,1,1.0,True
Methionine,1,1.0,True
Emtricitabine,1,0.41666666,False
Ethosuximide,1,1.0,True
Mexiletine,1,1.0,True
Zidovudine,1,1.0,True
Pregabalin,1,0.5,False
Fluconazole,1,1.0,True
Chloroquine,1,1.0,True
Metronidazole,1,1.0,True
Penicillin V,1,1.0,True
Flucytosine,1,0.4,False
Theophylline Anhydrous,1,1.0,True
Niacinamide,1,1.0,True
Procainamide Hydrochloride,1,1.0,True
Lactulose,2,1.0,True
Budesonide,2,1.0,True
Glimepiride,2,0.47368422,False
Risperidone,2,1.0,True
Triamcinolone,2,1.0,True
Betamethasone,2,1.0,True
Tacrolimus,2,0.1986755,False
Ezetimibe,2,0.3125,False
Felodipine,2,1.0,True
Loratadine,2,0.49122807,False
Nifedipine,2,1.0,True
Piroxicam,2,1.0,True
Indomethacin,2,1.0,True
Prochlorperazine,2,1.0,True
Aripiprazole,2,0.36708862,False
Lansoprazole,2,0.4814815,False
Temazepam,2,1.0,True
Candesartan Cilexetil,2,0.5,False
Lovastatin,2,1.0,True
Olanzapine,2,0.537037,False
Omeprazole,2,1.0,True
Pioglitazone Hydrochloride,2,0.5263158,False
Amprenavir,2,0.29850745,False
Clotrimazole,2,1.0,True
Diclofenac Sodium,2,1.0,True
Meclizine,2,1.0,True
Simvastatin,2,1.0,True
Telmisartan,2,0.3678161,False
Ziprasidone Hydrochloride,2,0.45762712,False
Atorvastatin,2,0.2923077,False
Nitrofurantoin,2,1.0,True
Triamterene,2,1.0,True
Hydroxyzine,2,1.0,True
Duloxetine,2,0.38,False
Fenofibrate,2,1.0,True
Rifabutin,2,0.55454546,False
Nevirapine,2,1.0,True
Celecoxib,2,1.0,True
Ketoconazole,2,1.0,True
