Endpoint,Model,R2_train,R2_test,RMSE_test,MAE_test
LogS,LightGBM,0.9595,0.8319,0.9506,0.6073
LogS,XGBoost,0.9661,0.84,0.9272,0.5923
LogS,RandomForest,0.962,0.8036,1.0275,0.6863
LogS,Stacking,0.9668,0.8401,0.9269,0.5898
LogP,LightGBM,0.9846,0.9437,0.4467,0.3087
LogP,XGBoost,0.9877,0.9424,0.452,0.3065
LogP,RandomForest,0.9785,0.9023,0.5886,0.4267
LogP,Stacking,0.9871,0.9438,0.4466,0.3037
LogD,LightGBM,0.9927,0.7389,0.5223,0.3865
LogD,XGBoost,0.9959,0.7284,0.5327,0.3981
LogD,RandomForest,0.9273,0.5778,0.6641,0.5101
LogD,Stacking,0.9951,0.7425,0.5187,0.384
LogPapp,LightGBM,0.9951,0.7102,0.4058,0.3
LogPapp,XGBoost,0.9939,0.7164,0.4014,0.2988
LogPapp,RandomForest,0.9431,0.6802,0.4262,0.3267
LogPapp,Stacking,0.9915,0.718,0.4003,0.3006
